2024-10-30 at 15:03:01 | INFO | Бот успешно запущен.
2024-10-30 at 15:04:25 | INFO | Бот успешно запущен.
2024-10-30 at 15:45:24 | INFO | Бот успешно запущен.
2024-10-30 at 15:49:18 | INFO | Бот успешно запущен.
2024-10-30 at 15:52:35 | INFO | Бот успешно запущен.
2024-10-30 at 15:52:46 | ERROR | Ошибка: Некорректный формат URL - list index out of range
2024-10-30 at 15:52:46 | INFO | Ошибка возникла с URL: 💬 INFO
2024-10-30 at 15:54:11 | INFO | Бот успешно запущен.
2024-10-30 at 15:55:57 | INFO | Бот успешно запущен.
2024-10-30 at 15:57:17 | ERROR | Ошибка Instaloader: Fetching Post metadata failed.
2024-10-30 at 15:57:17 | INFO | Ошибка возникла с URL: https://www.instagram.com/reel/DBigsh=MmxxM3o3dTEybTBp
2024-10-30 at 16:01:06 | INFO | Бот успешно запущен.
2024-10-30 at 16:01:11 | ERROR | Ошибка Instaloader: Fetching Post metadata failed.
2024-10-30 at 16:01:11 | INFO | Ошибка возникла с URL: https://www.instagram.com/reel/DBigsh=MmxxM3o3dTEybTBp
2024-10-30 at 16:06:58 | INFO | Бот успешно запущен.
2024-10-30 at 16:07:25 | INFO | Бот успешно запущен.
2024-10-30 at 16:07:35 | ERROR | Ошибка Instaloader: Fetching Post metadata failed.
2024-10-30 at 16:07:35 | INFO | Ошибка возникла с URL: https://www.instagram.com/reel/DBigsh=MmxxM3o3dTEybTBp
